phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
learning,80_vs_20,logs\sub-01\id-1307_gender-F_age-22_rewardprob-80_session-plusmin.png,logs\sub-01\id-1373_gender-F_age-30_rewardprob-20_session-plusmin.png,f,f
