phase,condition,left_face,right_face,rewarded_resp,correct_resp
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,80_vs_20,logs\sub-02\id-1295_gender-F_age-26_rewardprob-20_session-plusneu.png,logs\sub-02\id-1290_gender-F_age-23_rewardprob-80_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,f,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,j,f
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,f,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
learning,64_vs_36,logs\sub-02\id-1358_gender-F_age-32_rewardprob-36_session-plusneu.png,logs\sub-02\id-1296_gender-F_age-23_rewardprob-64_session-plusneu.png,j,j
